TYPE MOTOR,COLOR,KODE CUSTOMER,JENIS KELAMIN,KECAMATAN SURAT,KOTA SURAT,PROPINSI,STATUS RUMAH,JENIS PENJUALAN STNK,JENIS PENJUALAN SSU,AGAMA,PEKERJAAN,PENGELUARAN,PENDIDIKAN,KEBERSEDIAAN DIHUBUNGI,MERK MOTOR SBLMNYA,TYPE MOTOR SBLMNYA,SMH DIGUNAKAN UNTUK,YG MENGGUNAKAN SMH,HOBI,KEWARGANEGARAAN
30,5,0,0,10,0,0,1,0,0,2,0,4,0,1,1,0,1,3,0,0
30,5,0,0,4,0,0,1,0,0,2,8,5,4,1,1,3,1,3,0,0
30,5,0,0,3,0,0,0,0,0,2,4,2,4,1,1,3,1,3,0,0
30,5,0,0,11,0,0,1,1,1,2,8,2,4,1,1,0,5,3,20,0
30,5,0,0,12,0,0,1,0,0,2,4,2,4,1,1,3,1,3,0,0
30,5,0,1,11,0,0,1,1,1,2,22,6,5,1,1,3,1,3,0,0
30,5,0,0,11,0,0,1,1,1,2,17,3,4,1,1,2,1,3,25,0
30,5,0,0,11,0,0,1,1,1,2,16,3,4,1,1,0,1,3,23,0
30,5,0,1,7,0,0,1,0,0,2,8,3,2,1,1,2,1,3,22,0
30,5,0,0,11,0,0,1,1,1,2,8,2,4,1,1,2,1,3,23,0
30,5,0,0,4,0,0,1,1,1,2,16,3,4,0,1,2,1,3,54,0
30,5,0,1,2,0,0,1,0,0,2,2,4,4,1,1,2,1,3,22,0
30,5,0,0,10,0,0,1,0,0,2,7,5,2,1,1,3,1,3,0,0
30,5,0,0,0,0,0,1,1,1,2,9,4,4,1,1,2,1,3,20,0
30,5,0,1,7,0,0,0,0,0,2,4,2,0,1,1,2,1,3,21,0
29,5,0,0,10,0,0,1,1,1,2,20,4,4,1,1,0,3,3,23,0
29,5,0,0,11,0,0,1,1,1,4,9,5,4,1,1,0,1,3,0,0
29,5,0,1,9,0,0,1,0,0,2,9,6,2,1,1,2,1,3,24,0
29,5,0,1,4,0,0,1,1,0,2,2,2,4,1,1,2,1,3,24,0
29,5,0,1,4,0,0,1,0,0,2,1,4,0,1,1,0,1,3,25,0
29,5,0,1,2,0,0,1,0,0,2,2,4,4,1,1,2,5,0,24,0
29,5,0,1,8,0,0,1,0,0,2,9,6,2,1,1,0,1,3,42,0
29,5,0,0,14,0,0,0,1,1,2,4,2,4,1,1,0,5,3,0,0
29,5,0,0,12,0,0,1,1,1,2,8,2,4,1,1,2,5,3,0,0
23,12,0,0,4,0,0,0,0,0,2,8,2,4,1,0,1,1,3,22,0
23,12,0,0,8,0,0,1,1,1,2,8,4,4,1,1,3,1,3,0,0
23,12,0,1,2,0,0,1,0,0,2,17,3,4,1,1,2,1,3,21,0
22,5,0,1,5,0,0,1,0,0,2,13,2,4,0,1,0,4,3,20,0
22,12,0,1,8,0,0,1,1,1,2,2,2,4,1,1,0,5,3,20,0
22,5,0,0,14,0,0,1,0,0,2,20,4,4,1,1,0,3,3,23,0
22,5,0,0,3,0,0,1,0,0,2,7,5,4,1,1,0,5,3,20,0
22,5,0,0,8,0,0,1,0,0,2,8,4,4,1,1,3,1,3,0,0
22,5,0,0,1,0,0,1,0,0,2,15,3,4,1,1,0,1,3,48,0
22,5,0,0,10,0,0,0,1,1,2,14,4,5,1,1,0,5,3,14,0
22,5,0,0,11,0,0,1,0,0,2,8,3,4,1,1,0,1,3,20,0
22,5,0,1,4,0,0,1,0,0,2,2,3,5,1,5,0,1,3,24,0
22,5,0,1,8,0,0,1,0,0,2,2,4,4,1,1,2,5,3,25,0
22,5,0,0,4,0,0,1,1,1,2,8,3,3,1,1,0,1,3,20,0
22,5,0,0,8,0,0,1,0,0,2,8,5,0,1,1,0,5,0,18,0
22,5,0,1,7,0,0,1,1,1,2,17,3,3,1,1,2,1,3,20,0
22,5,0,0,8,0,0,0,0,0,2,4,3,5,1,1,2,5,3,18,0
22,5,0,1,11,0,0,1,1,1,2,2,0,4,1,1,0,1,2,22,0
22,5,0,0,11,0,0,1,1,1,2,22,1,5,1,0,1,1,3,31,0
22,5,0,0,0,0,0,1,1,1,2,8,3,4,1,1,0,1,3,20,0
22,5,0,0,11,0,0,1,1,1,2,13,3,4,1,1,0,1,3,27,0
22,5,0,0,1,0,0,1,0,0,2,20,1,5,1,1,0,1,3,20,0
22,5,0,1,11,0,0,0,0,0,2,4,2,4,1,1,0,5,3,0,0
22,12,0,0,3,0,0,0,1,1,2,8,2,3,1,1,0,1,3,0,0
22,12,0,0,9,0,0,1,0,0,2,15,2,5,1,5,2,3,3,26,0
22,5,0,0,8,0,0,1,1,1,2,8,4,4,1,1,2,5,3,23,0
22,5,0,0,14,0,0,0,1,1,2,22,5,5,1,1,0,5,3,11,0
22,5,0,0,4,0,0,1,1,1,2,7,4,4,1,1,3,1,3,0,0
22,5,0,1,18,0,0,1,0,0,2,22,3,4,1,5,2,3,3,24,0
22,5,0,0,4,0,0,1,1,1,2,8,4,4,1,1,3,1,3,0,0
22,5,0,0,1,0,0,1,0,0,2,17,2,4,1,1,0,5,3,0,0
22,5,0,0,11,0,0,1,1,1,2,9,5,5,1,1,0,1,3,23,0
22,5,0,0,10,0,0,1,1,1,2,17,4,2,1,1,2,1,3,0,0
22,5,0,0,6,0,0,1,0,0,2,7,3,2,1,1,2,1,3,0,0
22,12,0,0,11,0,0,1,1,1,2,8,4,4,1,1,2,1,3,23,0
22,12,0,0,7,0,0,1,1,1,2,10,4,4,1,1,2,5,3,23,0
22,12,0,0,11,0,0,1,1,1,2,8,3,4,1,1,0,1,2,24,0
22,12,0,0,4,0,0,0,1,1,4,4,2,4,1,1,0,3,3,44,0
22,12,0,0,3,0,0,1,0,0,2,8,3,4,1,1,3,1,3,0,0
22,12,0,0,2,0,0,1,1,1,2,8,5,3,1,1,2,5,3,14,0
22,5,0,0,5,0,0,1,0,0,2,17,4,2,1,1,3,1,3,0,0
22,5,0,1,4,0,0,1,1,1,2,8,3,4,1,1,0,1,3,37,0
22,5,0,0,2,0,0,0,0,0,2,8,5,4,1,1,2,5,3,11,0
22,12,0,0,15,0,0,1,0,0,2,1,3,2,1,1,0,3,3,23,0
22,5,0,1,10,0,0,1,1,1,2,17,2,4,1,1,2,1,3,20,0
22,5,0,1,8,0,0,1,1,1,2,2,4,4,1,1,0,1,3,23,0
22,5,0,0,12,0,0,1,0,0,2,1,3,1,1,1,2,1,3,25,0
22,5,0,0,11,0,0,1,1,1,2,8,2,4,1,1,0,5,3,0,0
22,5,0,1,11,0,0,1,1,1,2,9,4,4,1,1,2,1,3,20,0
22,12,0,0,10,0,0,1,1,1,2,17,4,4,1,1,3,1,3,0,0
5,11,0,0,11,0,0,1,0,0,2,8,4,4,1,1,0,1,3,25,0
24,11,0,0,0,0,0,1,0,0,2,8,4,4,1,1,2,3,3,0,0
8,5,0,0,11,0,0,1,1,1,2,8,3,4,1,1,0,1,2,36,0
8,15,0,0,14,0,0,1,0,0,2,10,4,4,1,1,2,5,3,23,0
8,5,0,1,4,0,0,1,0,1,2,4,4,4,1,1,3,1,3,0,0
8,5,0,0,1,0,0,1,1,1,2,8,3,4,1,4,0,4,2,25,0
8,15,0,1,14,0,0,1,0,0,2,2,4,4,1,1,2,5,3,24,0
8,15,0,0,2,0,0,1,1,1,2,15,4,3,1,5,2,5,0,23,0
8,5,0,1,2,0,0,1,0,0,2,1,4,0,1,1,0,3,0,25,0
8,5,0,0,3,0,0,1,1,1,2,8,2,3,1,4,2,5,3,20,0
8,15,0,0,11,0,0,1,1,1,2,18,2,3,0,2,2,1,3,42,0
8,5,0,1,0,0,0,1,1,1,2,2,3,2,1,5,2,1,3,50,0
8,5,0,1,5,0,0,1,1,1,2,8,2,4,1,1,2,5,3,24,0
8,15,0,1,4,0,0,1,0,0,2,8,4,4,1,1,3,1,3,0,0
8,5,0,0,5,0,0,1,0,0,2,8,2,5,1,1,0,5,3,20,0
8,5,0,0,11,0,0,1,1,1,2,10,2,0,1,1,2,1,3,23,0
8,5,0,1,1,0,0,1,0,0,2,9,6,2,1,1,0,1,3,25,0
8,5,0,0,7,0,0,1,0,0,2,8,5,2,1,1,2,5,3,0,0
8,5,0,0,11,0,0,1,1,1,2,4,0,0,1,1,0,2,3,23,0
8,15,0,1,4,0,0,1,1,1,2,2,4,4,1,1,3,1,3,0,0
8,5,0,1,7,0,0,1,1,1,2,4,6,4,1,1,3,1,3,24,0
8,5,0,1,4,0,0,1,0,0,2,8,4,4,1,1,3,1,3,0,0
8,5,0,0,0,0,0,1,1,1,2,15,2,3,1,1,2,1,3,4,0
8,15,0,1,13,0,0,1,0,0,2,2,4,4,1,1,2,5,3,24,0
8,5,0,0,10,0,0,1,0,0,2,22,3,5,1,3,0,3,2,17,0
8,5,0,1,11,0,0,1,1,1,2,2,4,4,1,1,2,3,3,0,0
8,5,0,0,6,0,0,0,1,1,2,4,4,4,1,1,2,5,3,0,0
8,15,0,1,11,0,0,1,1,1,2,2,2,4,1,1,0,5,3,20,0
